sales_id,date_key,store_key,product_key,quantity,unit_price,total_sales,estimated_cost,estimated_profit
245672,447,1,2,4,700.00,2800.00,1820.00,980.00
245673,479,3,7,10,40.00,400.00,260.00,140.00
245674,175,2,7,14,40.00,560.00,364.00,196.00
245675,197,5,1,6,900.00,5400.00,3510.00,1890.00
245676,492,18,1,5,900.00,4500.00,2925.00,1575.00
245677,609,6,6,8,25.00,200.00,130.00,70.00
245678,559,16,3,9,300.00,2700.00,1755.00,945.00
245679,314,16,5,13,180.00,2340.00,1521.00,819.00
245680,440,4,3,9,300.00,2700.00,1755.00,945.00
245681,251,5,4,10,75.00,750.00,487.50,262.50
245682,224,10,7,9,40.00,360.00,234.00,126.00
245683,104,6,7,12,40.00,480.00,312.00,168.00
245684,463,19,6,13,25.00,325.00,211.25,113.75
245685,691,7,1,10,900.00,9000.00,5850.00,3150.00
245686,219,12,1,10,900.00,9000.00,5850.00,3150.00
245687,291,7,3,10,300.00,3000.00,1950.00,1050.00
245688,260,8,5,7,180.00,1260.00,819.00,441.00
245689,479,14,6,5,25.00,125.00,81.25,43.75
245690,273,12,7,1,40.00,40.00,26.00,14.00
245691,228,20,5,2,180.00,360.00,234.00,126.00
245692,180,13,4,6,75.00,450.00,292.50,157.50
245693,730,10,5,5,180.00,900.00,585.00,315.00
245694,294,3,5,5,180.00,900.00,585.00,315.00
245695,605,9,1,13,900.00,11700.00,7605.00,4095.00
245696,110,10,3,6,300.00,1800.00,1170.00,630.00
245697,43,9,5,9,180.00,1620.00,1053.00,567.00
245698,260,4,2,5,700.00,3500.00,2275.00,1225.00
245699,185,20,3,10,300.00,3000.00,1950.00,1050.00
245700,445,1,5,12,180.00,2160.00,1404.00,756.00
245701,119,18,2,9,700.00,6300.00,4095.00,2205.00
245702,528,8,2,10,700.00,7000.00,4550.00,2450.00
245703,614,17,1,2,900.00,1800.00,1170.00,630.00
245704,46,16,4,9,75.00,675.00,438.75,236.25
245705,611,3,5,3,180.00,540.00,351.00,189.00
245706,349,20,2,13,700.00,9100.00,5915.00,3185.00
245707,187,5,4,2,75.00,150.00,97.50,52.50
245708,195,15,7,12,40.00,480.00,312.00,168.00
245709,318,2,1,11,900.00,9900.00,6435.00,3465.00
245710,671,11,3,8,300.00,2400.00,1560.00,840.00
245711,204,20,3,2,300.00,600.00,390.00,210.00
245712,522,8,3,12,300.00,3600.00,2340.00,1260.00
245713,264,11,6,4,25.00,100.00,65.00,35.00
245714,537,20,6,4,25.00,100.00,65.00,35.00
245715,209,2,4,11,75.00,825.00,536.25,288.75
245716,635,17,4,13,75.00,975.00,633.75,341.25
245717,199,15,6,3,25.00,75.00,48.75,26.25
245718,305,2,1,9,900.00,8100.00,5265.00,2835.00
245719,141,15,4,12,75.00,900.00,585.00,315.00
245720,518,3,4,11,75.00,825.00,536.25,288.75
245721,231,6,4,9,75.00,675.00,438.75,236.25
245722,698,1,2,9,700.00,6300.00,4095.00,2205.00
245723,197,9,5,12,180.00,2160.00,1404.00,756.00
245724,241,17,2,5,700.00,3500.00,2275.00,1225.00
245725,338,18,1,7,900.00,6300.00,4095.00,2205.00
245726,376,2,2,10,700.00,7000.00,4550.00,2450.00
245727,423,16,7,9,40.00,360.00,234.00,126.00
245728,325,12,6,1,25.00,25.00,16.25,8.75
245729,565,15,7,10,40.00,400.00,260.00,140.00
245730,613,18,6,8,25.00,200.00,130.00,70.00
245731,508,10,2,2,700.00,1400.00,910.00,490.00
245732,9,11,6,10,25.00,250.00,162.50,87.50
245733,179,13,7,5,40.00,200.00,130.00,70.00
245734,468,16,3,6,300.00,1800.00,1170.00,630.00
245735,319,3,1,3,900.00,2700.00,1755.00,945.00
245736,298,3,2,8,700.00,5600.00,3640.00,1960.00
245737,263,20,7,2,40.00,80.00,52.00,28.00
245738,18,15,5,10,180.00,1800.00,1170.00,630.00
245739,671,2,1,13,900.00,11700.00,7605.00,4095.00
245740,180,1,7,9,40.00,360.00,234.00,126.00
245741,671,2,5,9,180.00,1620.00,1053.00,567.00
245742,71,20,2,3,700.00,2100.00,1365.00,735.00
245743,259,4,1,13,900.00,11700.00,7605.00,4095.00
245744,317,8,7,2,40.00,80.00,52.00,28.00
245745,262,7,4,6,75.00,450.00,292.50,157.50
245746,557,7,4,7,75.00,525.00,341.25,183.75
245747,497,12,3,6,300.00,1800.00,1170.00,630.00
245748,251,3,7,4,40.00,160.00,104.00,56.00
245749,437,17,7,4,40.00,160.00,104.00,56.00
245750,152,9,3,6,300.00,1800.00,1170.00,630.00
245751,655,11,4,13,75.00,975.00,633.75,341.25
245752,584,8,3,7,300.00,2100.00,1365.00,735.00
245753,364,2,3,13,300.00,3900.00,2535.00,1365.00
245754,650,18,7,3,40.00,120.00,78.00,42.00
245755,566,15,6,3,25.00,75.00,48.75,26.25
245756,403,2,4,14,75.00,1050.00,682.50,367.50
245757,532,8,3,9,300.00,2700.00,1755.00,945.00
245758,293,6,6,14,25.00,350.00,227.50,122.50
245759,525,1,4,7,75.00,525.00,341.25,183.75
245760,144,15,6,7,25.00,175.00,113.75,61.25
245761,377,7,6,8,25.00,200.00,130.00,70.00
245762,8,8,6,12,25.00,300.00,195.00,105.00
245763,110,18,3,10,300.00,3000.00,1950.00,1050.00
245764,679,2,2,1,700.00,700.00,455.00,245.00
245765,627,3,1,10,900.00,9000.00,5850.00,3150.00
245766,114,3,5,9,180.00,1620.00,1053.00,567.00
245767,595,4,1,7,900.00,6300.00,4095.00,2205.00
245768,152,15,2,12,700.00,8400.00,5460.00,2940.00
245769,78,14,4,5,75.00,375.00,243.75,131.25
245770,509,20,3,1,300.00,300.00,195.00,105.00
245771,185,5,3,4,300.00,1200.00,780.00,420.00
245772,311,17,1,2,900.00,1800.00,1170.00,630.00
245773,64,7,6,12,25.00,300.00,195.00,105.00
245774,360,20,5,14,180.00,2520.00,1638.00,882.00
245775,506,7,5,3,180.00,540.00,351.00,189.00
245776,434,11,7,12,40.00,480.00,312.00,168.00
245777,377,9,4,3,75.00,225.00,146.25,78.75
245778,117,6,7,2,40.00,80.00,52.00,28.00
245779,386,18,3,8,300.00,2400.00,1560.00,840.00
245780,199,4,6,8,25.00,200.00,130.00,70.00
245781,575,1,2,10,700.00,7000.00,4550.00,2450.00
245782,218,3,2,14,700.00,9800.00,6370.00,3430.00
245783,117,12,3,13,300.00,3900.00,2535.00,1365.00
245784,460,8,4,2,75.00,150.00,97.50,52.50
245785,731,2,7,8,40.00,320.00,208.00,112.00
245786,218,16,7,7,40.00,280.00,182.00,98.00
245787,420,9,7,1,40.00,40.00,26.00,14.00
245788,277,6,6,6,25.00,150.00,97.50,52.50
245789,559,10,5,1,180.00,180.00,117.00,63.00
245790,666,14,4,14,75.00,1050.00,682.50,367.50
245791,437,17,3,3,300.00,900.00,585.00,315.00
245792,725,16,6,5,25.00,125.00,81.25,43.75
245793,390,5,7,8,40.00,320.00,208.00,112.00
245794,631,9,6,7,25.00,175.00,113.75,61.25
245795,241,13,7,7,40.00,280.00,182.00,98.00
245796,554,2,5,2,180.00,360.00,234.00,126.00
245797,646,1,3,2,300.00,600.00,390.00,210.00
245798,230,11,4,5,75.00,375.00,243.75,131.25
245799,234,6,4,10,75.00,750.00,487.50,262.50
245800,383,18,6,13,25.00,325.00,211.25,113.75
245801,686,12,6,2,25.00,50.00,32.50,17.50
245802,655,5,7,3,40.00,120.00,78.00,42.00
245803,597,13,2,3,700.00,2100.00,1365.00,735.00
245804,610,2,7,10,40.00,400.00,260.00,140.00
245805,730,12,2,2,700.00,1400.00,910.00,490.00
245806,271,13,6,1,25.00,25.00,16.25,8.75
245807,285,5,3,9,300.00,2700.00,1755.00,945.00
245808,183,11,7,7,40.00,280.00,182.00,98.00
245809,67,11,5,11,180.00,1980.00,1287.00,693.00
245810,710,6,3,3,300.00,900.00,585.00,315.00
245811,427,14,4,7,75.00,525.00,341.25,183.75
245812,506,15,1,7,900.00,6300.00,4095.00,2205.00
245813,101,4,1,10,900.00,9000.00,5850.00,3150.00
245814,195,9,3,7,300.00,2100.00,1365.00,735.00
245815,699,20,3,2,300.00,600.00,390.00,210.00
245816,250,3,1,4,900.00,3600.00,2340.00,1260.00
245817,593,7,3,12,300.00,3600.00,2340.00,1260.00
245818,109,18,2,8,700.00,5600.00,3640.00,1960.00
245819,340,7,4,10,75.00,750.00,487.50,262.50
245820,517,2,1,1,900.00,900.00,585.00,315.00
245821,171,3,7,5,40.00,200.00,130.00,70.00
245822,384,1,3,3,300.00,900.00,585.00,315.00
245823,266,20,4,11,75.00,825.00,536.25,288.75
245824,347,11,4,2,75.00,150.00,97.50,52.50
245825,712,15,6,1,25.00,25.00,16.25,8.75
245826,99,1,1,12,900.00,10800.00,7020.00,3780.00
245827,708,11,2,8,700.00,5600.00,3640.00,1960.00
245828,213,13,2,13,700.00,9100.00,5915.00,3185.00
245829,543,9,5,1,180.00,180.00,117.00,63.00
245830,602,12,3,5,300.00,1500.00,975.00,525.00
245831,124,1,6,14,25.00,350.00,227.50,122.50
245832,634,11,5,11,180.00,1980.00,1287.00,693.00
245833,53,13,3,12,300.00,3600.00,2340.00,1260.00
245834,564,7,7,1,40.00,40.00,26.00,14.00
245835,520,11,3,8,300.00,2400.00,1560.00,840.00
245836,679,19,1,9,900.00,8100.00,5265.00,2835.00
245837,661,8,4,13,75.00,975.00,633.75,341.25
245838,79,10,3,1,300.00,300.00,195.00,105.00
245839,566,9,1,11,900.00,9900.00,6435.00,3465.00
245840,590,12,7,12,40.00,480.00,312.00,168.00
245841,136,8,4,1,75.00,75.00,48.75,26.25
245842,113,10,5,8,180.00,1440.00,936.00,504.00
245843,555,1,1,4,900.00,3600.00,2340.00,1260.00
245844,263,10,4,12,75.00,900.00,585.00,315.00
245845,520,14,3,14,300.00,4200.00,2730.00,1470.00
245846,174,6,7,10,40.00,400.00,260.00,140.00
245847,147,1,3,9,300.00,2700.00,1755.00,945.00
245848,479,10,5,1,180.00,180.00,117.00,63.00
245849,340,13,3,4,300.00,1200.00,780.00,420.00
245850,706,16,7,7,40.00,280.00,182.00,98.00
245851,405,17,4,8,75.00,600.00,390.00,210.00
245852,413,18,4,3,75.00,225.00,146.25,78.75
245853,485,7,4,11,75.00,825.00,536.25,288.75
245854,11,20,6,5,25.00,125.00,81.25,43.75
245855,400,13,4,3,75.00,225.00,146.25,78.75
245856,170,6,4,11,75.00,825.00,536.25,288.75
245857,422,2,3,3,300.00,900.00,585.00,315.00
245858,661,12,1,9,900.00,8100.00,5265.00,2835.00
245859,417,9,2,12,700.00,8400.00,5460.00,2940.00
245860,445,1,1,9,900.00,8100.00,5265.00,2835.00
245861,478,2,3,14,300.00,4200.00,2730.00,1470.00
245862,107,18,7,8,40.00,320.00,208.00,112.00
245863,124,4,2,3,700.00,2100.00,1365.00,735.00
245864,334,8,5,13,180.00,2340.00,1521.00,819.00
245865,444,6,3,8,300.00,2400.00,1560.00,840.00
245866,667,2,6,1,25.00,25.00,16.25,8.75
245867,202,6,6,11,25.00,275.00,178.75,96.25
245868,641,13,6,8,25.00,200.00,130.00,70.00
245869,126,19,4,9,75.00,675.00,438.75,236.25
245870,237,8,4,6,75.00,450.00,292.50,157.50
245871,400,12,2,11,700.00,7700.00,5005.00,2695.00
245872,113,7,5,14,180.00,2520.00,1638.00,882.00
245873,419,3,1,5,900.00,4500.00,2925.00,1575.00
245874,525,13,3,7,300.00,2100.00,1365.00,735.00
245875,124,16,6,12,25.00,300.00,195.00,105.00
245876,128,9,4,6,75.00,450.00,292.50,157.50
245877,356,17,5,3,180.00,540.00,351.00,189.00
245878,446,17,7,6,40.00,240.00,156.00,84.00
245879,526,12,4,5,75.00,375.00,243.75,131.25
245880,42,8,7,12,40.00,480.00,312.00,168.00
245881,678,19,6,1,25.00,25.00,16.25,8.75
245882,43,17,7,11,40.00,440.00,286.00,154.00
245883,66,6,5,12,180.00,2160.00,1404.00,756.00
245884,2,1,3,11,300.00,3300.00,2145.00,1155.00
245885,205,7,4,9,75.00,675.00,438.75,236.25
245886,30,17,3,12,300.00,3600.00,2340.00,1260.00
245887,532,20,4,12,75.00,900.00,585.00,315.00
245888,385,4,3,12,300.00,3600.00,2340.00,1260.00
245889,312,6,3,8,300.00,2400.00,1560.00,840.00
245890,197,11,2,10,700.00,7000.00,4550.00,2450.00
245891,122,1,6,9,25.00,225.00,146.25,78.75
245892,627,16,7,10,40.00,400.00,260.00,140.00
245893,518,10,2,10,700.00,7000.00,4550.00,2450.00
245894,493,5,3,14,300.00,4200.00,2730.00,1470.00
245895,410,2,3,6,300.00,1800.00,1170.00,630.00
245896,128,2,5,1,180.00,180.00,117.00,63.00
245897,286,17,7,13,40.00,520.00,338.00,182.00
245898,307,3,3,12,300.00,3600.00,2340.00,1260.00
245899,237,18,4,2,75.00,150.00,97.50,52.50
245900,429,2,2,4,700.00,2800.00,1820.00,980.00
245901,16,7,6,13,25.00,325.00,211.25,113.75
245902,78,13,2,7,700.00,4900.00,3185.00,1715.00
245903,472,2,3,10,300.00,3000.00,1950.00,1050.00
245904,69,6,7,14,40.00,560.00,364.00,196.00
245905,482,5,6,2,25.00,50.00,32.50,17.50
245906,646,8,6,3,25.00,75.00,48.75,26.25
245907,199,16,3,1,300.00,300.00,195.00,105.00
245908,46,2,4,10,75.00,750.00,487.50,262.50
245909,137,6,5,14,180.00,2520.00,1638.00,882.00
245910,40,13,5,9,180.00,1620.00,1053.00,567.00
245911,398,2,3,2,300.00,600.00,390.00,210.00
245912,631,18,4,10,75.00,750.00,487.50,262.50
245913,303,9,6,14,25.00,350.00,227.50,122.50
245914,299,13,5,11,180.00,1980.00,1287.00,693.00
245915,670,2,1,5,900.00,4500.00,2925.00,1575.00
245916,464,14,6,14,25.00,350.00,227.50,122.50
245917,511,12,7,2,40.00,80.00,52.00,28.00
245918,50,16,3,8,300.00,2400.00,1560.00,840.00
245919,717,5,4,10,75.00,750.00,487.50,262.50
245920,71,6,5,3,180.00,540.00,351.00,189.00
245921,653,14,2,8,700.00,5600.00,3640.00,1960.00
245922,631,2,3,10,300.00,3000.00,1950.00,1050.00
245923,259,16,6,7,25.00,175.00,113.75,61.25
245924,266,12,4,2,75.00,150.00,97.50,52.50
245925,63,17,3,3,300.00,900.00,585.00,315.00
245926,617,8,4,1,75.00,75.00,48.75,26.25
245927,147,17,7,5,40.00,200.00,130.00,70.00
245928,464,20,6,10,25.00,250.00,162.50,87.50
245929,592,16,4,5,75.00,375.00,243.75,131.25
245930,657,6,6,3,25.00,75.00,48.75,26.25
245931,554,3,6,14,25.00,350.00,227.50,122.50
245932,68,13,5,13,180.00,2340.00,1521.00,819.00
245933,631,14,2,7,700.00,4900.00,3185.00,1715.00
245934,386,19,6,13,25.00,325.00,211.25,113.75
245935,446,3,6,8,25.00,200.00,130.00,70.00
245936,92,8,1,2,900.00,1800.00,1170.00,630.00
245937,277,18,3,1,300.00,300.00,195.00,105.00
245938,709,1,6,11,25.00,275.00,178.75,96.25
245939,557,8,3,9,300.00,2700.00,1755.00,945.00
245940,551,2,6,7,25.00,175.00,113.75,61.25
245941,573,8,4,5,75.00,375.00,243.75,131.25
245942,35,17,4,7,75.00,525.00,341.25,183.75
245943,129,1,4,3,75.00,225.00,146.25,78.75
245944,262,3,6,14,25.00,350.00,227.50,122.50
245945,519,7,7,8,40.00,320.00,208.00,112.00
245946,230,15,3,6,300.00,1800.00,1170.00,630.00
245947,321,3,3,12,300.00,3600.00,2340.00,1260.00
245948,502,13,7,14,40.00,560.00,364.00,196.00
245949,457,7,1,5,900.00,4500.00,2925.00,1575.00
245950,668,12,4,3,75.00,225.00,146.25,78.75
245951,121,5,7,3,40.00,120.00,78.00,42.00
245952,671,5,1,11,900.00,9900.00,6435.00,3465.00
245953,454,6,6,6,25.00,150.00,97.50,52.50
245954,570,1,6,4,25.00,100.00,65.00,35.00
245955,550,16,1,1,900.00,900.00,585.00,315.00
245956,152,19,7,6,40.00,240.00,156.00,84.00
245957,192,9,6,11,25.00,275.00,178.75,96.25
245958,607,4,3,9,300.00,2700.00,1755.00,945.00
245959,202,5,3,4,300.00,1200.00,780.00,420.00
245960,527,16,2,9,700.00,6300.00,4095.00,2205.00
245961,496,16,6,2,25.00,50.00,32.50,17.50
245962,581,17,4,4,75.00,300.00,195.00,105.00
245963,165,10,6,4,25.00,100.00,65.00,35.00
245964,221,7,4,7,75.00,525.00,341.25,183.75
245965,101,10,5,5,180.00,900.00,585.00,315.00
245966,181,11,3,13,300.00,3900.00,2535.00,1365.00
245967,80,20,3,12,300.00,3600.00,2340.00,1260.00
245968,369,18,4,12,75.00,900.00,585.00,315.00
245969,643,6,1,9,900.00,8100.00,5265.00,2835.00
245970,696,15,5,10,180.00,1800.00,1170.00,630.00
245971,390,15,4,1,75.00,75.00,48.75,26.25
245972,550,1,3,7,300.00,2100.00,1365.00,735.00
245973,531,6,5,7,180.00,1260.00,819.00,441.00
245974,211,3,6,6,25.00,150.00,97.50,52.50
245975,98,7,4,6,75.00,450.00,292.50,157.50
245976,719,15,6,6,25.00,150.00,97.50,52.50
245977,385,20,5,14,180.00,2520.00,1638.00,882.00
245978,507,2,5,7,180.00,1260.00,819.00,441.00
245979,458,8,4,8,75.00,600.00,390.00,210.00
245980,644,12,6,14,25.00,350.00,227.50,122.50
245981,581,9,5,12,180.00,2160.00,1404.00,756.00
245982,601,19,6,3,25.00,75.00,48.75,26.25
245983,273,7,4,12,75.00,900.00,585.00,315.00
245984,622,18,4,1,75.00,75.00,48.75,26.25
245985,550,10,5,9,180.00,1620.00,1053.00,567.00
245986,727,13,5,9,180.00,1620.00,1053.00,567.00
245987,431,8,5,3,180.00,540.00,351.00,189.00
245988,110,4,5,9,180.00,1620.00,1053.00,567.00
245989,213,11,3,3,300.00,900.00,585.00,315.00
245990,435,11,2,11,700.00,7700.00,5005.00,2695.00
245991,16,12,2,10,700.00,7000.00,4550.00,2450.00
245992,621,7,1,6,900.00,5400.00,3510.00,1890.00
245993,681,4,2,8,700.00,5600.00,3640.00,1960.00
245994,71,9,5,13,180.00,2340.00,1521.00,819.00
245995,34,11,3,6,300.00,1800.00,1170.00,630.00
245996,117,2,6,8,25.00,200.00,130.00,70.00
245997,33,17,3,9,300.00,2700.00,1755.00,945.00
245998,669,20,1,8,900.00,7200.00,4680.00,2520.00
245999,63,13,2,14,700.00,9800.00,6370.00,3430.00
246000,526,4,5,4,180.00,720.00,468.00,252.00
246001,612,15,1,2,900.00,1800.00,1170.00,630.00
246002,254,13,4,2,75.00,150.00,97.50,52.50
246003,718,5,1,7,900.00,6300.00,4095.00,2205.00
246004,613,9,6,4,25.00,100.00,65.00,35.00
246005,511,14,4,4,75.00,300.00,195.00,105.00
246006,522,13,3,7,300.00,2100.00,1365.00,735.00
246007,83,8,3,3,300.00,900.00,585.00,315.00
246008,401,4,5,14,180.00,2520.00,1638.00,882.00
246009,342,9,5,6,180.00,1080.00,702.00,378.00
246010,188,1,3,5,300.00,1500.00,975.00,525.00
246011,375,1,5,12,180.00,2160.00,1404.00,756.00
246012,66,3,6,4,25.00,100.00,65.00,35.00
246013,66,16,1,2,900.00,1800.00,1170.00,630.00
246014,119,9,7,1,40.00,40.00,26.00,14.00
246015,405,18,6,6,25.00,150.00,97.50,52.50
246016,403,4,3,13,300.00,3900.00,2535.00,1365.00
246017,239,6,1,3,900.00,2700.00,1755.00,945.00
246018,571,3,6,11,25.00,275.00,178.75,96.25
246019,352,17,5,1,180.00,180.00,117.00,63.00
246020,611,20,3,12,300.00,3600.00,2340.00,1260.00
246021,488,7,4,7,75.00,525.00,341.25,183.75
246022,567,16,4,14,75.00,1050.00,682.50,367.50
246023,196,1,5,7,180.00,1260.00,819.00,441.00
246024,205,13,4,2,75.00,150.00,97.50,52.50
246025,586,11,7,1,40.00,40.00,26.00,14.00
246026,614,19,2,14,700.00,9800.00,6370.00,3430.00
246027,631,15,5,2,180.00,360.00,234.00,126.00
246028,181,3,7,6,40.00,240.00,156.00,84.00
246029,261,15,7,12,40.00,480.00,312.00,168.00
246030,240,13,4,7,75.00,525.00,341.25,183.75
246031,391,13,3,10,300.00,3000.00,1950.00,1050.00
246032,455,9,5,8,180.00,1440.00,936.00,504.00
246033,124,4,1,3,900.00,2700.00,1755.00,945.00
246034,440,17,4,14,75.00,1050.00,682.50,367.50
246035,433,1,6,11,25.00,275.00,178.75,96.25
246036,333,13,3,4,300.00,1200.00,780.00,420.00
246037,121,14,6,14,25.00,350.00,227.50,122.50
246038,253,14,6,1,25.00,25.00,16.25,8.75
246039,626,2,5,13,180.00,2340.00,1521.00,819.00
246040,360,7,7,14,40.00,560.00,364.00,196.00
246041,516,18,3,8,300.00,2400.00,1560.00,840.00
246042,298,10,2,14,700.00,9800.00,6370.00,3430.00
246043,70,12,3,8,300.00,2400.00,1560.00,840.00
246044,328,12,2,7,700.00,4900.00,3185.00,1715.00
246045,505,5,3,1,300.00,300.00,195.00,105.00
246046,80,3,7,4,40.00,160.00,104.00,56.00
246047,424,14,2,10,700.00,7000.00,4550.00,2450.00
246048,147,5,6,9,25.00,225.00,146.25,78.75
246049,95,11,5,13,180.00,2340.00,1521.00,819.00
246050,262,12,6,5,25.00,125.00,81.25,43.75
246051,213,11,7,4,40.00,160.00,104.00,56.00
246052,533,5,3,14,300.00,4200.00,2730.00,1470.00
246053,682,3,3,11,300.00,3300.00,2145.00,1155.00
246054,291,16,3,4,300.00,1200.00,780.00,420.00
246055,148,11,1,4,900.00,3600.00,2340.00,1260.00
246056,8,10,3,10,300.00,3000.00,1950.00,1050.00
246057,646,14,5,7,180.00,1260.00,819.00,441.00
246058,309,2,1,6,900.00,5400.00,3510.00,1890.00
246059,75,5,7,2,40.00,80.00,52.00,28.00
246060,695,15,2,8,700.00,5600.00,3640.00,1960.00
246061,190,5,2,7,700.00,4900.00,3185.00,1715.00
246062,678,2,6,3,25.00,75.00,48.75,26.25
246063,480,3,3,11,300.00,3300.00,2145.00,1155.00
246064,677,19,5,9,180.00,1620.00,1053.00,567.00
246065,236,10,3,7,300.00,2100.00,1365.00,735.00
246066,481,1,3,14,300.00,4200.00,2730.00,1470.00
246067,664,14,3,4,300.00,1200.00,780.00,420.00
246068,117,5,5,8,180.00,1440.00,936.00,504.00
246069,214,3,4,3,75.00,225.00,146.25,78.75
246070,593,13,5,4,180.00,720.00,468.00,252.00
246071,193,6,2,6,700.00,4200.00,2730.00,1470.00
246072,216,11,3,6,300.00,1800.00,1170.00,630.00
246073,415,2,7,5,40.00,200.00,130.00,70.00
246074,311,14,7,3,40.00,120.00,78.00,42.00
246075,338,2,6,7,25.00,175.00,113.75,61.25
246076,153,11,3,4,300.00,1200.00,780.00,420.00
246077,194,16,5,14,180.00,2520.00,1638.00,882.00
246078,442,18,4,8,75.00,600.00,390.00,210.00
246079,310,4,6,14,25.00,350.00,227.50,122.50
246080,101,11,5,12,180.00,2160.00,1404.00,756.00
246081,134,14,4,1,75.00,75.00,48.75,26.25
246082,150,4,2,1,700.00,700.00,455.00,245.00
246083,527,19,3,7,300.00,2100.00,1365.00,735.00
246084,74,7,3,8,300.00,2400.00,1560.00,840.00
246085,693,1,5,1,180.00,180.00,117.00,63.00
246086,610,8,5,8,180.00,1440.00,936.00,504.00
246087,647,3,3,11,300.00,3300.00,2145.00,1155.00
246088,74,15,2,10,700.00,7000.00,4550.00,2450.00
246089,674,4,1,4,900.00,3600.00,2340.00,1260.00
246090,709,15,1,8,900.00,7200.00,4680.00,2520.00
246091,245,5,2,7,700.00,4900.00,3185.00,1715.00
246092,67,19,4,9,75.00,675.00,438.75,236.25
246093,109,17,4,11,75.00,825.00,536.25,288.75
246094,599,8,7,2,40.00,80.00,52.00,28.00
246095,196,17,2,4,700.00,2800.00,1820.00,980.00
246096,183,8,4,2,75.00,150.00,97.50,52.50
246097,3,6,1,6,900.00,5400.00,3510.00,1890.00
246098,511,11,5,12,180.00,2160.00,1404.00,756.00
246099,321,2,6,7,25.00,175.00,113.75,61.25
246100,731,7,6,13,25.00,325.00,211.25,113.75
246101,234,13,6,9,25.00,225.00,146.25,78.75
246102,98,10,7,14,40.00,560.00,364.00,196.00
246103,291,2,1,10,900.00,9000.00,5850.00,3150.00
246104,626,14,2,10,700.00,7000.00,4550.00,2450.00
246105,545,20,4,7,75.00,525.00,341.25,183.75
246106,587,13,7,12,40.00,480.00,312.00,168.00
246107,51,13,1,14,900.00,12600.00,8190.00,4410.00
