date_key,sale_date,sale_year,sale_month,sale_quarter,weekday
65,2023-02-10,2023,2,1,Friday
66,2024-04-17,2024,4,2,Wednesday
67,2023-09-17,2023,9,3,Sunday
68,2024-06-24,2024,6,2,Monday
69,2023-01-20,2023,1,1,Friday
70,2023-11-20,2023,11,4,Monday
71,2023-02-26,2023,2,1,Sunday
72,2023-02-05,2023,2,1,Sunday
73,2024-05-27,2024,5,2,Monday
74,2024-07-06,2024,7,3,Saturday
75,2023-04-02,2023,4,2,Sunday
76,2023-04-09,2023,4,2,Sunday
77,2024-07-18,2024,7,3,Thursday
78,2023-05-05,2023,5,2,Friday
79,2023-03-29,2023,3,1,Wednesday
80,2024-02-08,2024,2,1,Thursday
81,2024-11-19,2024,11,4,Tuesday
82,2023-10-03,2023,10,4,Tuesday
83,2023-07-08,2023,7,3,Saturday
84,2024-04-03,2024,4,2,Wednesday
85,2024-01-31,2024,1,1,Wednesday
86,2024-06-10,2024,6,2,Monday
87,2024-12-12,2024,12,4,Thursday
88,2023-08-24,2023,8,3,Thursday
89,2024-06-13,2024,6,2,Thursday
90,2024-03-31,2024,3,1,Sunday
91,2023-09-15,2023,9,3,Friday
92,2023-10-30,2023,10,4,Monday
93,2023-08-18,2023,8,3,Friday
94,2023-02-06,2023,2,1,Monday
95,2023-10-11,2023,10,4,Wednesday
96,2024-07-31,2024,7,3,Wednesday
97,2023-03-21,2023,3,1,Tuesday
98,2024-12-03,2024,12,4,Tuesday
99,2023-07-12,2023,7,3,Wednesday
100,2024-11-10,2024,11,4,Sunday
101,2024-06-12,2024,6,2,Wednesday
102,2023-06-26,2023,6,2,Monday
103,2023-11-17,2023,11,4,Friday
104,2023-10-16,2023,10,4,Monday
105,2023-02-27,2023,2,1,Monday
106,2023-03-28,2023,3,1,Tuesday
107,2023-04-05,2023,4,2,Wednesday
108,2023-01-08,2023,1,1,Sunday
109,2023-08-20,2023,8,3,Sunday
110,2023-10-17,2023,10,4,Tuesday
111,2024-01-30,2024,1,1,Tuesday
112,2024-01-15,2024,1,1,Monday
113,2024-03-10,2024,3,1,Sunday
114,2023-02-12,2023,2,1,Sunday
115,2023-12-19,2023,12,4,Tuesday
116,2023-12-06,2023,12,4,Wednesday
117,2023-09-04,2023,9,3,Monday
118,2023-08-16,2023,8,3,Wednesday
119,2024-05-22,2024,5,2,Wednesday
120,2023-06-09,2023,6,2,Friday
121,2023-10-31,2023,10,4,Tuesday
122,2024-06-28,2024,6,2,Friday
123,2024-10-06,2024,10,4,Sunday
124,2024-01-02,2024,1,1,Tuesday
125,2023-11-27,2023,11,4,Monday
126,2023-11-11,2023,11,4,Saturday
127,2024-12-13,2024,12,4,Friday
128,2023-01-03,2023,1,1,Tuesday
129,2024-08-14,2024,8,3,Wednesday
130,2023-02-20,2023,2,1,Monday
131,2024-11-06,2024,11,4,Wednesday
132,2023-08-08,2023,8,3,Tuesday
133,2023-02-21,2023,2,1,Tuesday
134,2023-05-28,2023,5,2,Sunday
135,2023-08-28,2023,8,3,Monday
136,2023-09-26,2023,9,3,Tuesday
137,2023-02-13,2023,2,1,Monday
138,2023-10-06,2023,10,4,Friday
139,2024-03-05,2024,3,1,Tuesday
140,2023-07-23,2023,7,3,Sunday
141,2023-10-20,2023,10,4,Friday
142,2023-09-25,2023,9,3,Monday
143,2024-02-02,2024,2,1,Friday
144,2023-06-28,2023,6,2,Wednesday
145,2024-08-28,2024,8,3,Wednesday
146,2024-11-27,2024,11,4,Wednesday
147,2023-05-10,2023,5,2,Wednesday
148,2024-05-14,2024,5,2,Tuesday
149,2024-12-09,2024,12,4,Monday
150,2024-08-16,2024,8,3,Friday
151,2023-11-07,2023,11,4,Tuesday
152,2024-02-14,2024,2,1,Wednesday
153,2023-10-22,2023,10,4,Sunday
154,2023-09-29,2023,9,3,Friday
155,2024-10-11,2024,10,4,Friday
156,2024-11-24,2024,11,4,Sunday
157,2023-09-23,2023,9,3,Saturday
158,2024-08-23,2024,8,3,Friday
159,2024-11-09,2024,11,4,Saturday
160,2023-08-01,2023,8,3,Tuesday
161,2023-12-14,2023,12,4,Thursday
162,2024-03-01,2024,3,1,Friday
163,2024-10-15,2024,10,4,Tuesday
164,2024-07-11,2024,7,3,Thursday
165,2023-10-25,2023,10,4,Wednesday
166,2024-09-04,2024,9,3,Wednesday
167,2023-04-26,2023,4,2,Wednesday
168,2023-04-08,2023,4,2,Saturday
169,2024-02-28,2024,2,1,Wednesday
170,2024-11-29,2024,11,4,Friday
171,2024-09-16,2024,9,3,Monday
172,2024-08-09,2024,8,3,Friday
173,2023-10-24,2023,10,4,Tuesday
174,2023-08-23,2023,8,3,Wednesday
175,2024-09-08,2024,9,3,Sunday
176,2023-02-09,2023,2,1,Thursday
177,2023-04-18,2023,4,2,Tuesday
178,2024-09-24,2024,9,3,Tuesday
179,2024-02-29,2024,2,1,Thursday
180,2023-01-01,2023,1,1,Sunday
181,2024-07-19,2024,7,3,Friday
182,2024-08-24,2024,8,3,Saturday
183,2024-01-04,2024,1,1,Thursday
184,2024-02-20,2024,2,1,Tuesday
185,2023-03-07,2023,3,1,Tuesday
186,2023-07-25,2023,7,3,Tuesday
187,2023-07-03,2023,7,3,Monday
188,2023-12-20,2023,12,4,Wednesday
189,2024-03-14,2024,3,1,Thursday
190,2024-07-21,2024,7,3,Sunday
191,2023-08-02,2023,8,3,Wednesday
192,2024-01-11,2024,1,1,Thursday
193,2023-03-16,2023,3,1,Thursday
194,2024-07-17,2024,7,3,Wednesday
195,2024-08-31,2024,8,3,Saturday
196,2024-09-22,2024,9,3,Sunday
197,2023-03-09,2023,3,1,Thursday
198,2023-03-08,2023,3,1,Wednesday
199,2023-11-29,2023,11,4,Wednesday
200,2023-05-23,2023,5,2,Tuesday
201,2024-12-15,2024,12,4,Sunday
202,2024-08-03,2024,8,3,Saturday
203,2024-12-27,2024,12,4,Friday
204,2024-10-20,2024,10,4,Sunday
205,2023-04-16,2023,4,2,Sunday
206,2023-11-22,2023,11,4,Wednesday
207,2023-10-07,2023,10,4,Saturday
208,2024-01-17,2024,1,1,Wednesday
209,2023-02-11,2023,2,1,Saturday
210,2024-05-20,2024,5,2,Monday
211,2023-07-28,2023,7,3,Friday
212,2023-07-17,2023,7,3,Monday
213,2023-08-13,2023,8,3,Sunday
214,2024-03-12,2024,3,1,Tuesday
215,2024-02-21,2024,2,1,Wednesday
216,2024-04-20,2024,4,2,Saturday
217,2023-02-04,2023,2,1,Saturday
218,2024-11-16,2024,11,4,Saturday
219,2023-05-27,2023,5,2,Saturday
220,2024-11-01,2024,11,4,Friday
221,2023-04-27,2023,4,2,Thursday
222,2024-08-29,2024,8,3,Thursday
223,2023-08-27,2023,8,3,Sunday
224,2023-01-15,2023,1,1,Sunday
225,2023-06-16,2023,6,2,Friday
226,2023-12-08,2023,12,4,Friday
227,2023-10-21,2023,10,4,Saturday
228,2024-02-06,2024,2,1,Tuesday
229,2024-10-27,2024,10,4,Sunday
230,2024-05-01,2024,5,2,Wednesday
231,2024-07-07,2024,7,3,Sunday
232,2023-01-31,2023,1,1,Tuesday
233,2023-01-16,2023,1,1,Monday
234,2023-07-30,2023,7,3,Sunday
235,2023-03-05,2023,3,1,Sunday
236,2024-05-05,2024,5,2,Sunday
237,2023-02-17,2023,2,1,Friday
238,2023-09-14,2023,9,3,Thursday
239,2023-01-05,2023,1,1,Thursday
240,2023-12-10,2023,12,4,Sunday
241,2024-06-11,2024,6,2,Tuesday
242,2023-04-11,2023,4,2,Tuesday
243,2023-06-27,2023,6,2,Tuesday
244,2023-10-08,2023,10,4,Sunday
245,2023-03-25,2023,3,1,Saturday
246,2024-07-26,2024,7,3,Friday
247,2023-02-19,2023,2,1,Sunday
248,2024-12-30,2024,12,4,Monday
249,2023-11-13,2023,11,4,Monday
250,2024-11-03,2024,11,4,Sunday
251,2024-08-05,2024,8,3,Monday
252,2023-07-21,2023,7,3,Friday
253,2023-08-26,2023,8,3,Saturday
254,2024-10-13,2024,10,4,Sunday
255,2024-08-11,2024,8,3,Sunday
256,2024-08-06,2024,8,3,Tuesday
257,2023-10-27,2023,10,4,Friday
258,2024-07-25,2024,7,3,Thursday
259,2023-09-01,2023,9,3,Friday
260,2023-01-02,2023,1,1,Monday
261,2024-07-02,2024,7,3,Tuesday
262,2024-10-10,2024,10,4,Thursday
263,2024-04-02,2024,4,2,Tuesday
264,2024-06-27,2024,6,2,Thursday
265,2024-02-18,2024,2,1,Sunday
266,2024-01-23,2024,1,1,Tuesday
267,2024-06-09,2024,6,2,Sunday
268,2023-04-30,2023,4,2,Sunday
269,2024-07-10,2024,7,3,Wednesday
270,2023-04-25,2023,4,2,Tuesday
271,2024-09-30,2024,9,3,Monday
272,2024-03-16,2024,3,1,Saturday
273,2024-10-14,2024,10,4,Monday
274,2023-04-07,2023,4,2,Friday
275,2024-05-26,2024,5,2,Sunday
276,2024-10-08,2024,10,4,Tuesday
277,2024-05-31,2024,5,2,Friday
278,2023-11-08,2023,11,4,Wednesday
279,2024-04-10,2024,4,2,Wednesday
280,2024-12-19,2024,12,4,Thursday
281,2024-04-30,2024,4,2,Tuesday
282,2024-01-07,2024,1,1,Sunday
283,2023-11-28,2023,11,4,Tuesday
284,2024-03-25,2024,3,1,Monday
285,2023-08-10,2023,8,3,Thursday
286,2024-03-13,2024,3,1,Wednesday
287,2024-08-01,2024,8,3,Thursday
288,2024-09-12,2024,9,3,Thursday
289,2024-05-18,2024,5,2,Saturday
290,2024-07-22,2024,7,3,Monday
291,2023-09-11,2023,9,3,Monday
292,2023-02-14,2023,2,1,Tuesday
293,2023-08-12,2023,8,3,Saturday
294,2023-01-11,2023,1,1,Wednesday
295,2023-01-13,2023,1,1,Friday
296,2023-06-29,2023,6,2,Thursday
297,2023-04-04,2023,4,2,Tuesday
298,2024-12-11,2024,12,4,Wednesday
299,2024-01-12,2024,1,1,Friday
300,2024-09-09,2024,9,3,Monday
301,2023-12-07,2023,12,4,Thursday
302,2024-01-28,2024,1,1,Sunday
303,2023-08-30,2023,8,3,Wednesday
304,2024-07-13,2024,7,3,Saturday
305,2023-07-14,2023,7,3,Friday
306,2023-03-18,2023,3,1,Saturday
307,2023-03-31,2023,3,1,Friday
308,2023-07-07,2023,7,3,Friday
309,2023-12-09,2023,12,4,Saturday
310,2024-10-12,2024,10,4,Saturday
311,2023-01-25,2023,1,1,Wednesday
312,2024-09-01,2024,9,3,Sunday
313,2023-08-22,2023,8,3,Tuesday
314,2023-04-14,2023,4,2,Friday
315,2024-06-22,2024,6,2,Saturday
316,2024-11-04,2024,11,4,Monday
317,2024-03-27,2024,3,1,Wednesday
318,2023-11-14,2023,11,4,Tuesday
319,2024-07-08,2024,7,3,Monday
320,2023-01-07,2023,1,1,Saturday
321,2024-10-01,2024,10,4,Tuesday
322,2024-12-28,2024,12,4,Saturday
323,2024-02-01,2024,2,1,Thursday
324,2023-12-02,2023,12,4,Saturday
325,2023-11-26,2023,11,4,Sunday
326,2023-05-19,2023,5,2,Friday
327,2023-12-18,2023,12,4,Monday
328,2024-01-01,2024,1,1,Monday
329,2023-05-16,2023,5,2,Tuesday
330,2024-12-05,2024,12,4,Thursday
331,2023-07-09,2023,7,3,Sunday
332,2024-09-25,2024,9,3,Wednesday
333,2024-06-08,2024,6,2,Saturday
334,2024-09-19,2024,9,3,Thursday
335,2024-10-05,2024,10,4,Saturday
336,2023-02-02,2023,2,1,Thursday
337,2024-03-18,2024,3,1,Monday
338,2023-05-02,2023,5,2,Tuesday
339,2024-05-04,2024,5,2,Saturday
340,2023-02-22,2023,2,1,Wednesday
341,2024-07-03,2024,7,3,Wednesday
342,2024-06-25,2024,6,2,Tuesday
343,2024-04-27,2024,4,2,Saturday
344,2023-06-24,2023,6,2,Saturday
345,2023-07-18,2023,7,3,Tuesday
346,2024-06-26,2024,6,2,Wednesday
347,2023-10-28,2023,10,4,Saturday
348,2023-09-30,2023,9,3,Saturday
349,2024-03-29,2024,3,1,Friday
350,2024-02-26,2024,2,1,Monday
351,2023-04-17,2023,4,2,Monday
352,2024-06-29,2024,6,2,Saturday
353,2023-12-17,2023,12,4,Sunday
354,2023-11-02,2023,11,4,Thursday
355,2024-05-25,2024,5,2,Saturday
356,2024-08-21,2024,8,3,Wednesday
357,2024-07-15,2024,7,3,Monday
358,2023-08-04,2023,8,3,Friday
359,2024-07-23,2024,7,3,Tuesday
360,2023-07-10,2023,7,3,Monday
361,2023-06-30,2023,6,2,Friday
362,2024-09-10,2024,9,3,Tuesday
363,2023-11-25,2023,11,4,Saturday
364,2023-12-27,2023,12,4,Wednesday
365,2024-04-16,2024,4,2,Tuesday
366,2024-06-30,2024,6,2,Sunday
367,2023-12-25,2023,12,4,Monday
368,2024-11-07,2024,11,4,Thursday
369,2023-02-15,2023,2,1,Wednesday
370,2024-12-29,2024,12,4,Sunday
371,2024-02-16,2024,2,1,Friday
372,2024-05-17,2024,5,2,Friday
373,2024-05-03,2024,5,2,Friday
374,2024-07-04,2024,7,3,Thursday
375,2024-06-19,2024,6,2,Wednesday
376,2023-06-20,2023,6,2,Tuesday
377,2024-12-17,2024,12,4,Tuesday
378,2024-05-29,2024,5,2,Wednesday
379,2023-01-27,2023,1,1,Friday
380,2023-07-24,2023,7,3,Monday
381,2023-04-06,2023,4,2,Thursday
382,2024-07-12,2024,7,3,Friday
383,2024-09-18,2024,9,3,Wednesday
384,2024-01-20,2024,1,1,Saturday
385,2023-04-20,2023,4,2,Thursday
386,2023-10-05,2023,10,4,Thursday
387,2023-02-23,2023,2,1,Thursday
388,2024-06-18,2024,6,2,Tuesday
389,2023-11-05,2023,11,4,Sunday
390,2024-05-07,2024,5,2,Tuesday
391,2023-09-09,2023,9,3,Saturday
392,2024-11-08,2024,11,4,Friday
393,2023-08-05,2023,8,3,Saturday
394,2024-09-20,2024,9,3,Friday
395,2024-07-05,2024,7,3,Friday
396,2024-01-05,2024,1,1,Friday
397,2024-04-29,2024,4,2,Monday
398,2024-05-23,2024,5,2,Thursday
399,2024-12-21,2024,12,4,Saturday
400,2023-08-29,2023,8,3,Tuesday
401,2023-07-05,2023,7,3,Wednesday
402,2023-05-18,2023,5,2,Thursday
403,2023-06-05,2023,6,2,Monday
404,2024-10-02,2024,10,4,Wednesday
405,2023-01-14,2023,1,1,Saturday
406,2024-07-28,2024,7,3,Sunday
407,2023-11-21,2023,11,4,Tuesday
408,2023-05-22,2023,5,2,Monday
409,2023-11-24,2023,11,4,Friday
410,2024-09-21,2024,9,3,Saturday
411,2023-07-22,2023,7,3,Saturday
412,2024-08-25,2024,8,3,Sunday
413,2024-12-04,2024,12,4,Wednesday
414,2023-01-10,2023,1,1,Tuesday
415,2023-03-15,2023,3,1,Wednesday
416,2024-09-27,2024,9,3,Friday
417,2023-01-06,2023,1,1,Friday
418,2023-10-13,2023,10,4,Friday
419,2023-04-12,2023,4,2,Wednesday
420,2024-03-19,2024,3,1,Tuesday
421,2024-12-24,2024,12,4,Tuesday
422,2024-06-06,2024,6,2,Thursday
423,2024-12-16,2024,12,4,Monday
424,2024-01-27,2024,1,1,Saturday
425,2024-02-05,2024,2,1,Monday
426,2024-01-09,2024,1,1,Tuesday
427,2023-09-16,2023,9,3,Saturday
428,2024-11-05,2024,11,4,Tuesday
429,2024-04-07,2024,4,2,Sunday
430,2024-08-07,2024,8,3,Wednesday
431,2024-05-15,2024,5,2,Wednesday
432,2024-04-26,2024,4,2,Friday
433,2024-08-13,2024,8,3,Tuesday
434,2024-10-19,2024,10,4,Saturday
435,2024-05-13,2024,5,2,Monday
436,2023-03-06,2023,3,1,Monday
437,2023-07-04,2023,7,3,Tuesday
438,2023-06-06,2023,6,2,Tuesday
439,2023-09-05,2023,9,3,Tuesday
440,2023-05-13,2023,5,2,Saturday
441,2024-11-14,2024,11,4,Thursday
442,2024-02-13,2024,2,1,Tuesday
443,2023-03-30,2023,3,1,Thursday
444,2024-06-07,2024,6,2,Friday
445,2023-11-16,2023,11,4,Thursday
446,2023-05-09,2023,5,2,Tuesday
447,2024-09-03,2024,9,3,Tuesday
448,2024-03-11,2024,3,1,Monday
449,2024-05-06,2024,5,2,Monday
450,2023-07-29,2023,7,3,Saturday
451,2024-10-04,2024,10,4,Friday
452,2024-09-02,2024,9,3,Monday
453,2023-06-19,2023,6,2,Monday
454,2024-04-19,2024,4,2,Friday
455,2024-01-24,2024,1,1,Wednesday
456,2023-10-29,2023,10,4,Sunday
457,2024-04-01,2024,4,2,Monday
458,2024-11-17,2024,11,4,Sunday
459,2024-10-24,2024,10,4,Thursday
460,2024-02-04,2024,2,1,Sunday
461,2024-05-30,2024,5,2,Thursday
462,2024-12-02,2024,12,4,Monday
463,2023-06-14,2023,6,2,Wednesday
464,2023-08-19,2023,8,3,Saturday
465,2024-03-28,2024,3,1,Thursday
466,2024-07-16,2024,7,3,Tuesday
467,2023-12-16,2023,12,4,Saturday
468,2024-04-15,2024,4,2,Monday
469,2024-01-29,2024,1,1,Monday
470,2024-10-28,2024,10,4,Monday
471,2023-12-22,2023,12,4,Friday
472,2024-09-26,2024,9,3,Thursday
473,2024-12-01,2024,12,4,Sunday
474,2023-07-20,2023,7,3,Thursday
475,2023-02-03,2023,2,1,Friday
476,2024-11-23,2024,11,4,Saturday
477,2024-10-03,2024,10,4,Thursday
478,2024-05-24,2024,5,2,Friday
479,2023-03-26,2023,3,1,Sunday
480,2024-09-28,2024,9,3,Saturday
481,2023-10-02,2023,10,4,Monday
482,2024-05-28,2024,5,2,Tuesday
483,2023-12-12,2023,12,4,Tuesday
484,2023-12-15,2023,12,4,Friday
485,2023-08-03,2023,8,3,Thursday
486,2024-06-20,2024,6,2,Thursday
487,2023-04-21,2023,4,2,Friday
488,2024-12-10,2024,12,4,Tuesday
489,2024-06-16,2024,6,2,Sunday
490,2023-11-06,2023,11,4,Monday
491,2023-04-23,2023,4,2,Sunday
492,2023-03-23,2023,3,1,Thursday
493,2023-01-04,2023,1,1,Wednesday
494,2024-10-16,2024,10,4,Wednesday
495,2023-03-27,2023,3,1,Monday
496,2024-04-14,2024,4,2,Sunday
497,2024-01-21,2024,1,1,Sunday
498,2023-03-04,2023,3,1,Saturday
499,2024-04-09,2024,4,2,Tuesday
500,2023-05-06,2023,5,2,Saturday
501,2023-01-21,2023,1,1,Saturday
502,2023-01-09,2023,1,1,Monday
503,2024-11-13,2024,11,4,Wednesday
504,2024-01-13,2024,1,1,Saturday
505,2023-06-17,2023,6,2,Saturday
506,2023-12-05,2023,12,4,Tuesday
507,2023-03-03,2023,3,1,Friday
508,2024-04-25,2024,4,2,Thursday
509,2024-01-08,2024,1,1,Monday
510,2024-12-22,2024,12,4,Sunday
511,2023-07-01,2023,7,3,Saturday
512,2023-03-24,2023,3,1,Friday
513,2024-01-03,2024,1,1,Wednesday
514,2023-08-31,2023,8,3,Thursday
515,2024-03-30,2024,3,1,Saturday
516,2024-03-06,2024,3,1,Wednesday
517,2024-02-10,2024,2,1,Saturday
518,2023-12-24,2023,12,4,Sunday
519,2024-03-23,2024,3,1,Saturday
520,2023-09-20,2023,9,3,Wednesday
521,2024-02-23,2024,2,1,Friday
522,2024-03-22,2024,3,1,Friday
523,2023-12-13,2023,12,4,Wednesday
524,2023-12-01,2023,12,4,Friday
525,2023-07-15,2023,7,3,Saturday
526,2023-05-15,2023,5,2,Monday
527,2023-09-18,2023,9,3,Monday
528,2024-03-03,2024,3,1,Sunday
529,2023-03-14,2023,3,1,Tuesday
530,2023-09-21,2023,9,3,Thursday
531,2023-02-24,2023,2,1,Friday
532,2023-04-13,2023,4,2,Thursday
533,2023-03-12,2023,3,1,Sunday
534,2024-03-15,2024,3,1,Friday
535,2023-09-19,2023,9,3,Tuesday
536,2024-04-21,2024,4,2,Sunday
537,2024-03-24,2024,3,1,Sunday
538,2023-11-01,2023,11,4,Wednesday
539,2024-10-30,2024,10,4,Wednesday
540,2023-05-30,2023,5,2,Tuesday
541,2024-03-21,2024,3,1,Thursday
542,2024-02-11,2024,2,1,Sunday
543,2023-06-04,2023,6,2,Sunday
544,2024-01-18,2024,1,1,Thursday
545,2023-05-07,2023,5,2,Sunday
546,2024-11-11,2024,11,4,Monday
547,2023-05-21,2023,5,2,Sunday
548,2024-06-14,2024,6,2,Friday
549,2024-06-15,2024,6,2,Saturday
550,2023-03-01,2023,3,1,Wednesday
551,2023-01-24,2023,1,1,Tuesday
552,2024-01-26,2024,1,1,Friday
553,2023-03-02,2023,3,1,Thursday
554,2023-08-06,2023,8,3,Sunday
555,2023-01-12,2023,1,1,Thursday
556,2024-02-19,2024,2,1,Monday
557,2024-10-31,2024,10,4,Thursday
558,2023-09-22,2023,9,3,Friday
559,2024-01-25,2024,1,1,Thursday
560,2024-08-15,2024,8,3,Thursday
561,2024-06-23,2024,6,2,Sunday
562,2023-04-10,2023,4,2,Monday
563,2024-10-25,2024,10,4,Friday
564,2023-05-26,2023,5,2,Friday
565,2024-12-08,2024,12,4,Sunday
566,2023-01-19,2023,1,1,Thursday
567,2023-04-15,2023,4,2,Saturday
568,2023-06-03,2023,6,2,Saturday
569,2023-07-19,2023,7,3,Wednesday
570,2023-06-02,2023,6,2,Friday
571,2023-05-11,2023,5,2,Thursday
572,2023-08-11,2023,8,3,Friday
573,2024-12-25,2024,12,4,Wednesday
574,2024-10-21,2024,10,4,Monday
575,2023-07-27,2023,7,3,Thursday
576,2023-12-23,2023,12,4,Saturday
577,2024-08-10,2024,8,3,Saturday
578,2023-09-12,2023,9,3,Tuesday
579,2024-08-27,2024,8,3,Tuesday
580,2023-08-09,2023,8,3,Wednesday
581,2023-12-31,2023,12,4,Sunday
582,2023-08-07,2023,8,3,Monday
583,2024-08-20,2024,8,3,Tuesday
584,2024-09-17,2024,9,3,Tuesday
585,2023-07-11,2023,7,3,Tuesday
586,2024-09-11,2024,9,3,Wednesday
587,2024-08-18,2024,8,3,Sunday
588,2023-10-26,2023,10,4,Thursday
589,2023-04-01,2023,4,2,Saturday
590,2023-11-18,2023,11,4,Saturday
591,2023-05-12,2023,5,2,Friday
592,2024-06-05,2024,6,2,Wednesday
593,2023-08-21,2023,8,3,Monday
594,2024-09-23,2024,9,3,Monday
595,2023-09-07,2023,9,3,Thursday
596,2024-09-06,2024,9,3,Friday
597,2023-05-25,2023,5,2,Thursday
598,2024-11-25,2024,11,4,Monday
599,2024-12-31,2024,12,4,Tuesday
600,2024-02-07,2024,2,1,Wednesday
601,2023-09-10,2023,9,3,Sunday
602,2023-03-19,2023,3,1,Sunday
603,2023-12-29,2023,12,4,Friday
604,2024-08-26,2024,8,3,Monday
605,2023-03-10,2023,3,1,Friday
606,2024-10-17,2024,10,4,Thursday
607,2023-06-22,2023,6,2,Thursday
608,2023-09-28,2023,9,3,Thursday
609,2023-06-13,2023,6,2,Tuesday
610,2023-11-15,2023,11,4,Wednesday
611,2024-12-06,2024,12,4,Friday
612,2024-02-24,2024,2,1,Saturday
613,2024-05-08,2024,5,2,Wednesday
614,2024-08-12,2024,8,3,Monday
615,2023-04-03,2023,4,2,Monday
616,2023-09-02,2023,9,3,Saturday
617,2024-07-30,2024,7,3,Tuesday
618,2024-02-22,2024,2,1,Thursday
619,2024-12-18,2024,12,4,Wednesday
620,2023-10-23,2023,10,4,Monday
621,2024-03-04,2024,3,1,Monday
622,2024-08-19,2024,8,3,Monday
623,2024-01-06,2024,1,1,Saturday
624,2023-08-14,2023,8,3,Monday
625,2023-05-14,2023,5,2,Sunday
626,2024-09-14,2024,9,3,Saturday
627,2024-11-30,2024,11,4,Saturday
628,2023-10-14,2023,10,4,Saturday
629,2023-06-01,2023,6,2,Thursday
630,2023-11-23,2023,11,4,Thursday
631,2024-12-20,2024,12,4,Friday
632,2023-06-15,2023,6,2,Thursday
633,2023-06-18,2023,6,2,Sunday
634,2024-05-21,2024,5,2,Tuesday
635,2023-02-18,2023,2,1,Saturday
636,2023-10-18,2023,10,4,Wednesday
637,2023-11-12,2023,11,4,Sunday
638,2024-06-01,2024,6,2,Saturday
639,2023-12-26,2023,12,4,Tuesday
640,2024-08-08,2024,8,3,Thursday
641,2024-08-04,2024,8,3,Sunday
642,2024-04-11,2024,4,2,Thursday
643,2023-05-29,2023,5,2,Monday
644,2024-10-18,2024,10,4,Friday
645,2023-06-07,2023,6,2,Wednesday
646,2023-01-29,2023,1,1,Sunday
647,2024-11-18,2024,11,4,Monday
648,2023-10-15,2023,10,4,Sunday
649,2024-05-11,2024,5,2,Saturday
650,2023-01-26,2023,1,1,Thursday
651,2023-10-12,2023,10,4,Thursday
652,2024-07-29,2024,7,3,Monday
653,2024-02-03,2024,2,1,Saturday
654,2024-04-24,2024,4,2,Wednesday
655,2024-07-24,2024,7,3,Wednesday
656,2024-11-20,2024,11,4,Wednesday
657,2024-03-07,2024,3,1,Thursday
658,2023-12-03,2023,12,4,Sunday
659,2024-09-07,2024,9,3,Saturday
660,2023-08-15,2023,8,3,Tuesday
661,2023-10-10,2023,10,4,Tuesday
662,2023-03-20,2023,3,1,Monday
663,2023-08-17,2023,8,3,Thursday
