sale_date,store,region,product,category,unit_price,quantity,total_sales,sale_year,sale_month,sale_quarter,weekday,estimated_profit,estimated_cost
2023-09-01,Store A,East,Tablet,Electronics,300,5,1500,2023,9,3,Friday,525.0,975.0
2024-05-19,Store A,East,Laptop,Electronics,900,14,12600,2024,5,2,Sunday,4410.0,8190.0
2023-05-11,Store E,West,Headphones,Accessories,75,11,825,2023,5,2,Thursday,288.75,536.25
2024-04-29,Store C,East,Monitor,Electronics,180,2,360,2024,4,2,Monday,125.99999999999999,234.0
2024-10-08,Store B,West,Monitor,Electronics,180,10,1800,2024,10,4,Tuesday,630.0,1170.0
2023-01-21,Store E,West,Headphones,Accessories,75,4,300,2023,1,1,Saturday,105.0,195.0
2023-06-16,Store B,West,Monitor,Electronics,180,8,1440,2023,6,2,Friday,503.99999999999994,936.0
2023-10-01,Store D,South,Keyboard,Accessories,40,4,160,2023,10,4,Sunday,56.0,104.0
2024-01-23,Store A,North,Keyboard,Accessories,40,13,520,2024,1,1,Tuesday,182.0,338.0
2024-08-23,Store D,West,Laptop,Electronics,900,11,9900,2024,8,3,Friday,3465.0,6435.0
2023-11-12,Store A,West,Mouse,Accessories,25,7,175,2023,11,4,Sunday,61.24999999999999,113.75
2023-01-14,Store C,North,Smartphone,Electronics,700,13,9100,2023,1,1,Saturday,3185.0,5915.0
2023-08-30,Store E,South,Tablet,Electronics,300,13,3900,2023,8,3,Wednesday,1365.0,2535.0
2023-12-12,Store C,East,Keyboard,Accessories,40,9,360,2023,12,4,Tuesday,125.99999999999999,234.0
2024-07-18,Store A,South,Keyboard,Accessories,40,1,40,2024,7,3,Thursday,14.0,26.0
2023-12-06,Store D,East,Tablet,Electronics,300,6,1800,2023,12,4,Wednesday,630.0,1170.0
2023-04-02,Store A,North,Monitor,Electronics,180,1,180,2023,4,2,Sunday,62.99999999999999,117.0
2024-01-02,Store C,South,Monitor,Electronics,180,14,2520,2024,1,1,Tuesday,882.0,1638.0
2024-03-30,Store C,North,Keyboard,Accessories,40,3,120,2024,3,1,Saturday,42.0,78.0
2024-03-03,Store D,South,Keyboard,Accessories,40,12,480,2024,3,1,Sunday,168.0,312.0
2024-05-23,Store D,South,Mouse,Accessories,25,11,275,2024,5,2,Thursday,96.25,178.75
2023-02-04,Store C,North,Monitor,Electronics,180,1,180,2023,2,1,Saturday,62.99999999999999,117.0
2023-07-25,Store A,North,Headphones,Accessories,75,7,525,2023,7,3,Tuesday,183.75,341.25
2023-03-22,Store A,North,Keyboard,Accessories,40,2,80,2023,3,1,Wednesday,28.0,52.0
2024-07-15,Store E,East,Smartphone,Electronics,700,12,8400,2024,7,3,Monday,2940.0,5460.0
2024-01-23,Store C,North,Headphones,Accessories,75,8,600,2024,1,1,Tuesday,210.0,390.0
2023-01-02,Store E,West,Smartphone,Electronics,700,11,7700,2023,1,1,Monday,2695.0,5005.0
2024-01-25,Store C,West,Smartphone,Electronics,700,8,5600,2024,1,1,Thursday,1959.9999999999998,3640.0
2024-07-19,Store E,North,Laptop,Electronics,900,9,8100,2024,7,3,Friday,2835.0,5265.0
2023-04-16,Store B,North,Monitor,Electronics,180,1,180,2023,4,2,Sunday,62.99999999999999,117.0
2024-04-21,Store A,South,Smartphone,Electronics,700,10,7000,2024,4,2,Sunday,2450.0,4550.0
2024-12-03,Store A,West,Tablet,Electronics,300,14,4200,2024,12,4,Tuesday,1470.0,2730.0
2024-02-06,Store B,East,Keyboard,Accessories,40,8,320,2024,2,1,Tuesday,112.0,208.0
2024-12-30,Store D,South,Keyboard,Accessories,40,12,480,2024,12,4,Monday,168.0,312.0
2024-07-09,Store B,East,Headphones,Accessories,75,9,675,2024,7,3,Tuesday,236.24999999999997,438.75
2023-06-11,Store A,North,Keyboard,Accessories,40,7,280,2023,6,2,Sunday,98.0,182.0
2023-07-21,Store C,South,Keyboard,Accessories,40,14,560,2023,7,3,Friday,196.0,364.0
2023-09-27,Store E,West,Mouse,Accessories,25,8,200,2023,9,3,Wednesday,70.0,130.0
2023-09-28,Store A,South,Laptop,Electronics,900,8,7200,2023,9,3,Thursday,2520.0,4680.0
2024-03-31,Store B,East,Smartphone,Electronics,700,10,7000,2024,3,1,Sunday,2450.0,4550.0
2024-04-06,Store C,West,Monitor,Electronics,180,2,360,2024,4,2,Saturday,125.99999999999999,234.0
2024-12-27,Store A,East,Headphones,Accessories,75,12,900,2024,12,4,Friday,315.0,585.0
2023-09-09,Store B,West,Laptop,Electronics,900,9,8100,2023,9,3,Saturday,2835.0,5265.0
2024-12-02,Store A,North,Smartphone,Electronics,700,9,6300,2024,12,4,Monday,2205.0,4095.0
2023-10-23,Store B,North,Tablet,Electronics,300,12,3600,2023,10,4,Monday,1260.0,2340.0
2024-12-25,Store B,North,Smartphone,Electronics,700,4,2800,2024,12,4,Wednesday,979.9999999999999,1820.0
2024-12-20,Store A,West,Keyboard,Accessories,40,6,240,2024,12,4,Friday,84.0,156.0
2023-12-04,Store C,South,Tablet,Electronics,300,7,2100,2023,12,4,Monday,735.0,1365.0
2023-02-22,Store A,North,Keyboard,Accessories,40,5,200,2023,2,1,Wednesday,70.0,130.0
2023-08-05,Store A,West,Tablet,Electronics,300,14,4200,2023,8,3,Saturday,1470.0,2730.0
2023-07-07,Store C,West,Headphones,Accessories,75,10,750,2023,7,3,Friday,262.5,487.5
2024-01-15,Store A,North,Monitor,Electronics,180,6,1080,2024,1,1,Monday,378.0,702.0
2024-05-07,Store E,West,Keyboard,Accessories,40,12,480,2024,5,2,Tuesday,168.0,312.0
2023-02-10,Store E,West,Monitor,Electronics,180,12,2160,2023,2,1,Friday,756.0,1404.0
2023-06-06,Store E,North,Keyboard,Accessories,40,4,160,2023,6,2,Tuesday,56.0,104.0
2023-01-15,Store B,South,Monitor,Electronics,180,2,360,2023,1,1,Sunday,125.99999999999999,234.0
2023-03-06,Store D,East,Keyboard,Accessories,40,12,480,2023,3,1,Monday,168.0,312.0
2024-06-04,Store A,South,Mouse,Accessories,25,2,50,2024,6,2,Tuesday,17.5,32.5
2023-12-10,Store D,West,Keyboard,Accessories,40,14,560,2023,12,4,Sunday,196.0,364.0
2023-05-09,Store E,West,Mouse,Accessories,25,2,50,2023,5,2,Tuesday,17.5,32.5
2024-10-09,Store C,West,Keyboard,Accessories,40,3,120,2024,10,4,Wednesday,42.0,78.0
2024-04-16,Store E,North,Keyboard,Accessories,40,5,200,2024,4,2,Tuesday,70.0,130.0
2023-03-04,Store A,East,Monitor,Electronics,180,13,2340,2023,3,1,Saturday,819.0,1521.0
2023-05-19,Store D,West,Laptop,Electronics,900,13,11700,2023,5,2,Friday,4094.9999999999995,7605.0
2024-05-13,Store D,West,Headphones,Accessories,75,8,600,2024,5,2,Monday,210.0,390.0
2024-08-15,Store B,South,Laptop,Electronics,900,7,6300,2024,8,3,Thursday,2205.0,4095.0
2024-01-27,Store C,West,Monitor,Electronics,180,12,2160,2024,1,1,Saturday,756.0,1404.0
2024-11-05,Store E,West,Tablet,Electronics,300,13,3900,2024,11,4,Tuesday,1365.0,2535.0
2024-02-23,Store C,North,Headphones,Accessories,75,11,825,2024,2,1,Friday,288.75,536.25
2023-10-16,Store A,South,Keyboard,Accessories,40,10,400,2023,10,4,Monday,140.0,260.0
2024-01-14,Store B,South,Laptop,Electronics,900,6,5400,2024,1,1,Sunday,1889.9999999999998,3510.0
2024-05-04,Store E,West,Headphones,Accessories,75,12,900,2024,5,2,Saturday,315.0,585.0
2023-08-19,Store A,North,Laptop,Electronics,900,4,3600,2023,8,3,Saturday,1260.0,2340.0
2023-02-10,Store C,North,Monitor,Electronics,180,11,1980,2023,2,1,Friday,693.0,1287.0
2023-01-28,Store B,East,Tablet,Electronics,300,2,600,2023,1,1,Saturday,210.0,390.0
2023-05-15,Store E,East,Headphones,Accessories,75,13,975,2023,5,2,Monday,341.25,633.75
2023-07-20,Store C,West,Keyboard,Accessories,40,10,400,2023,7,3,Thursday,140.0,260.0
2023-02-02,Store E,East,Smartphone,Electronics,700,10,7000,2023,2,1,Thursday,2450.0,4550.0
2023-02-17,Store B,North,Keyboard,Accessories,40,9,360,2023,2,1,Friday,125.99999999999999,234.0
2024-05-17,Store B,South,Smartphone,Electronics,700,13,9100,2024,5,2,Friday,3185.0,5915.0
2024-02-11,Store C,East,Keyboard,Accessories,40,4,160,2024,2,1,Sunday,56.0,104.0
2024-07-27,Store E,West,Monitor,Electronics,180,11,1980,2024,7,3,Saturday,693.0,1287.0
2024-12-28,Store D,North,Headphones,Accessories,75,2,150,2024,12,4,Saturday,52.5,97.5
2023-04-09,Store A,East,Laptop,Electronics,900,1,900,2023,4,2,Sunday,315.0,585.0
2024-11-14,Store B,North,Mouse,Accessories,25,12,300,2024,11,4,Thursday,105.0,195.0
2024-12-26,Store E,South,Keyboard,Accessories,40,11,440,2024,12,4,Thursday,154.0,286.0
2024-06-30,Store C,North,Tablet,Electronics,300,6,1800,2024,6,2,Sunday,630.0,1170.0
2024-09-04,Store C,West,Smartphone,Electronics,700,14,9800,2024,9,3,Wednesday,3430.0,6370.0
2024-04-06,Store B,East,Headphones,Accessories,75,7,525,2024,4,2,Saturday,183.75,341.25
2024-10-04,Store B,North,Mouse,Accessories,25,7,175,2024,10,4,Friday,61.24999999999999,113.75
2023-01-05,Store D,South,Laptop,Electronics,900,5,4500,2023,1,1,Thursday,1575.0,2925.0
2023-08-06,Store C,East,Smartphone,Electronics,700,12,8400,2023,8,3,Sunday,2940.0,5460.0
2024-05-17,Store E,East,Smartphone,Electronics,700,7,4900,2024,5,2,Friday,1715.0,3185.0
2024-02-02,Store A,West,Mouse,Accessories,25,5,125,2024,2,1,Friday,43.75,81.25
2024-01-28,Store A,South,Headphones,Accessories,75,7,525,2024,1,1,Sunday,183.75,341.25
2023-07-26,Store D,North,Tablet,Electronics,300,5,1500,2023,7,3,Wednesday,525.0,975.0
2023-01-15,Store E,South,Monitor,Electronics,180,8,1440,2023,1,1,Sunday,503.99999999999994,936.0
2024-07-07,Store A,South,Monitor,Electronics,180,1,180,2024,7,3,Sunday,62.99999999999999,117.0
2024-04-05,Store A,South,Monitor,Electronics,180,2,360,2024,4,2,Friday,125.99999999999999,234.0
2024-11-21,Store E,North,Mouse,Accessories,25,13,325,2024,11,4,Thursday,113.74999999999999,211.25
2024-07-28,Store E,East,Headphones,Accessories,75,7,525,2024,7,3,Sunday,183.75,341.25
2023-08-29,Store B,South,Smartphone,Electronics,700,1,700,2023,8,3,Tuesday,244.99999999999997,455.0
2024-07-17,Store A,North,Tablet,Electronics,300,7,2100,2024,7,3,Wednesday,735.0,1365.0
2023-04-06,Store A,East,Headphones,Accessories,75,9,675,2023,4,2,Thursday,236.24999999999997,438.75
2024-04-29,Store D,West,Monitor,Electronics,180,3,540,2024,4,2,Monday,189.0,351.0
2024-02-11,Store B,North,Tablet,Electronics,300,9,2700,2024,2,1,Sunday,944.9999999999999,1755.0
2023-08-19,Store B,South,Keyboard,Accessories,40,12,480,2023,8,3,Saturday,168.0,312.0
2024-10-16,Store A,South,Headphones,Accessories,75,5,375,2024,10,4,Wednesday,131.25,243.75
2023-06-20,Store C,North,Keyboard,Accessories,40,6,240,2023,6,2,Tuesday,84.0,156.0
2024-06-24,Store C,North,Monitor,Electronics,180,8,1440,2024,6,2,Monday,503.99999999999994,936.0
2023-02-05,Store E,South,Headphones,Accessories,75,1,75,2023,2,1,Sunday,26.25,48.75
2024-06-08,Store B,North,Headphones,Accessories,75,5,375,2024,6,2,Saturday,131.25,243.75
2023-06-09,Store A,South,Keyboard,Accessories,40,5,200,2023,6,2,Friday,70.0,130.0
2024-11-29,Store A,North,Laptop,Electronics,900,10,9000,2024,11,4,Friday,3150.0,5850.0
2023-08-31,Store A,West,Tablet,Electronics,300,8,2400,2023,8,3,Thursday,840.0,1560.0
2023-03-27,Store D,East,Keyboard,Accessories,40,4,160,2023,3,1,Monday,56.0,104.0
2024-07-31,Store C,West,Monitor,Electronics,180,9,1620,2024,7,3,Wednesday,567.0,1053.0
2024-11-12,Store D,North,Keyboard,Accessories,40,14,560,2024,11,4,Tuesday,196.0,364.0
2024-07-10,Store A,West,Mouse,Accessories,25,5,125,2024,7,3,Wednesday,43.75,81.25
2024-07-27,Store A,West,Laptop,Electronics,900,12,10800,2024,7,3,Saturday,3779.9999999999995,7020.0
2024-10-07,Store B,East,Monitor,Electronics,180,14,2520,2024,10,4,Monday,882.0,1638.0
2023-01-28,Store B,North,Mouse,Accessories,25,7,175,2023,1,1,Saturday,61.24999999999999,113.75
2024-09-11,Store C,West,Tablet,Electronics,300,8,2400,2024,9,3,Wednesday,840.0,1560.0
2024-07-09,Store E,West,Headphones,Accessories,75,10,750,2024,7,3,Tuesday,262.5,487.5
2023-12-06,Store A,North,Headphones,Accessories,75,6,450,2023,12,4,Wednesday,157.5,292.5
2023-11-27,Store B,East,Laptop,Electronics,900,3,2700,2023,11,4,Monday,944.9999999999999,1755.0
2024-10-01,Store C,West,Mouse,Accessories,25,10,250,2024,10,4,Tuesday,87.5,162.5
2024-05-20,Store D,South,Monitor,Electronics,180,1,180,2024,5,2,Monday,62.99999999999999,117.0
2023-12-14,Store A,East,Monitor,Electronics,180,9,1620,2023,12,4,Thursday,567.0,1053.0
2024-04-17,Store E,North,Headphones,Accessories,75,5,375,2024,4,2,Wednesday,131.25,243.75
2023-08-19,Store C,South,Keyboard,Accessories,40,4,160,2023,8,3,Saturday,56.0,104.0
2023-07-09,Store E,South,Keyboard,Accessories,40,2,80,2023,7,3,Sunday,28.0,52.0
2023-08-13,Store A,West,Tablet,Electronics,300,4,1200,2023,8,3,Sunday,420.0,780.0
2024-01-20,Store C,West,Tablet,Electronics,300,5,1500,2024,1,1,Saturday,525.0,975.0
2024-01-12,Store B,North,Monitor,Electronics,180,11,1980,2024,1,1,Friday,693.0,1287.0
2023-10-10,Store E,West,Laptop,Electronics,900,1,900,2023,10,4,Tuesday,315.0,585.0
2024-09-24,Store D,East,Laptop,Electronics,900,7,6300,2024,9,3,Tuesday,2205.0,4095.0
2024-09-19,Store D,South,Tablet,Electronics,300,4,1200,2024,9,3,Thursday,420.0,780.0
2023-09-16,Store E,East,Mouse,Accessories,25,9,225,2023,9,3,Saturday,78.75,146.25
2023-12-25,Store A,South,Headphones,Accessories,75,7,525,2023,12,4,Monday,183.75,341.25
2024-12-10,Store A,North,Tablet,Electronics,300,5,1500,2024,12,4,Tuesday,525.0,975.0
2024-03-31,Store A,South,Smartphone,Electronics,700,6,4200,2024,3,1,Sunday,1470.0,2730.0
2024-02-15,Store D,West,Mouse,Accessories,25,11,275,2024,2,1,Thursday,96.25,178.75
2024-10-10,Store D,North,Laptop,Electronics,900,2,1800,2024,10,4,Thursday,630.0,1170.0
2023-11-14,Store B,North,Tablet,Electronics,300,12,3600,2023,11,4,Tuesday,1260.0,2340.0
2024-11-07,Store A,North,Mouse,Accessories,25,9,225,2024,11,4,Thursday,78.75,146.25
2023-08-13,Store D,South,Smartphone,Electronics,700,11,7700,2023,8,3,Sunday,2695.0,5005.0
2023-08-22,Store D,East,Keyboard,Accessories,40,1,40,2023,8,3,Tuesday,14.0,26.0
2024-11-14,Store A,West,Headphones,Accessories,75,8,600,2024,11,4,Thursday,210.0,390.0
2024-10-25,Store A,East,Keyboard,Accessories,40,8,320,2024,10,4,Friday,112.0,208.0
2024-01-09,Store D,South,Laptop,Electronics,900,1,900,2024,1,1,Tuesday,315.0,585.0
2024-11-02,Store E,East,Keyboard,Accessories,40,13,520,2024,11,4,Saturday,182.0,338.0
2024-08-30,Store D,East,Monitor,Electronics,180,3,540,2024,8,3,Friday,189.0,351.0
2024-04-16,Store B,East,Keyboard,Accessories,40,5,200,2024,4,2,Tuesday,70.0,130.0
2023-08-21,Store C,North,Tablet,Electronics,300,5,1500,2023,8,3,Monday,525.0,975.0
2024-11-22,Store A,South,Smartphone,Electronics,700,12,8400,2024,11,4,Friday,2940.0,5460.0
2023-04-23,Store B,South,Smartphone,Electronics,700,6,4200,2023,4,2,Sunday,1470.0,2730.0
2024-05-11,Store E,West,Keyboard,Accessories,40,14,560,2024,5,2,Saturday,196.0,364.0
2024-03-17,Store C,West,Laptop,Electronics,900,2,1800,2024,3,1,Sunday,630.0,1170.0
2024-07-17,Store D,North,Tablet,Electronics,300,8,2400,2024,7,3,Wednesday,840.0,1560.0
2023-09-25,Store A,South,Smartphone,Electronics,700,2,1400,2023,9,3,Monday,489.99999999999994,910.0
2024-05-24,Store D,West,Mouse,Accessories,25,13,325,2024,5,2,Friday,113.74999999999999,211.25
2024-01-21,Store B,West,Headphones,Accessories,75,5,375,2024,1,1,Sunday,131.25,243.75
2024-01-22,Store A,North,Monitor,Electronics,180,8,1440,2024,1,1,Monday,503.99999999999994,936.0
2023-04-23,Store D,West,Laptop,Electronics,900,9,8100,2023,4,2,Sunday,2835.0,5265.0
2024-09-04,Store A,West,Headphones,Accessories,75,1,75,2024,9,3,Wednesday,26.25,48.75
2024-09-16,Store B,West,Laptop,Electronics,900,11,9900,2024,9,3,Monday,3465.0,6435.0
2023-03-22,Store D,West,Tablet,Electronics,300,12,3600,2023,3,1,Wednesday,1260.0,2340.0
2024-11-29,Store C,East,Smartphone,Electronics,700,13,9100,2024,11,4,Friday,3185.0,5915.0
2023-04-23,Store E,North,Laptop,Electronics,900,8,7200,2023,4,2,Sunday,2520.0,4680.0
2023-01-02,Store D,North,Tablet,Electronics,300,9,2700,2023,1,1,Monday,944.9999999999999,1755.0
2024-10-03,Store A,East,Headphones,Accessories,75,14,1050,2024,10,4,Thursday,367.5,682.5
2023-08-08,Store D,West,Tablet,Electronics,300,10,3000,2023,8,3,Tuesday,1050.0,1950.0
2024-07-19,Store A,South,Mouse,Accessories,25,13,325,2024,7,3,Friday,113.74999999999999,211.25
2023-08-13,Store B,West,Mouse,Accessories,25,12,300,2023,8,3,Sunday,105.0,195.0
2024-01-20,Store E,East,Laptop,Electronics,900,12,10800,2024,1,1,Saturday,3779.9999999999995,7020.0
2024-02-07,Store A,West,Mouse,Accessories,25,5,125,2024,2,1,Wednesday,43.75,81.25
2024-09-29,Store D,North,Smartphone,Electronics,700,6,4200,2024,9,3,Sunday,1470.0,2730.0
2023-05-10,Store B,West,Keyboard,Accessories,40,1,40,2023,5,2,Wednesday,14.0,26.0
2023-02-22,Store C,South,Headphones,Accessories,75,10,750,2023,2,1,Wednesday,262.5,487.5
2024-11-14,Store D,North,Mouse,Accessories,25,8,200,2024,11,4,Thursday,70.0,130.0
2024-12-30,Store E,West,Keyboard,Accessories,40,9,360,2024,12,4,Monday,125.99999999999999,234.0
2024-11-02,Store B,West,Smartphone,Electronics,700,13,9100,2024,11,4,Saturday,3185.0,5915.0
2024-12-10,Store D,South,Headphones,Accessories,75,7,525,2024,12,4,Tuesday,183.75,341.25
2024-02-20,Store A,West,Keyboard,Accessories,40,1,40,2024,2,1,Tuesday,14.0,26.0
2023-09-04,Store A,East,Headphones,Accessories,75,3,225,2023,9,3,Monday,78.75,146.25
2024-03-14,Store A,South,Tablet,Electronics,300,3,900,2024,3,1,Thursday,315.0,585.0
2023-07-22,Store D,East,Monitor,Electronics,180,1,180,2023,7,3,Saturday,62.99999999999999,117.0
2023-07-03,Store E,South,Keyboard,Accessories,40,11,440,2023,7,3,Monday,154.0,286.0
2023-05-03,Store A,North,Keyboard,Accessories,40,9,360,2023,5,2,Wednesday,125.99999999999999,234.0
2024-02-05,Store D,South,Monitor,Electronics,180,11,1980,2024,2,1,Monday,693.0,1287.0
2023-10-21,Store D,South,Smartphone,Electronics,700,12,8400,2023,10,4,Saturday,2940.0,5460.0
2023-10-07,Store E,East,Tablet,Electronics,300,2,600,2023,10,4,Saturday,210.0,390.0
2024-09-01,Store B,East,Monitor,Electronics,180,11,1980,2024,9,3,Sunday,693.0,1287.0
2023-07-17,Store B,South,Tablet,Electronics,300,10,3000,2023,7,3,Monday,1050.0,1950.0
2024-05-25,Store D,North,Headphones,Accessories,75,7,525,2024,5,2,Saturday,183.75,341.25
2023-05-24,Store B,South,Headphones,Accessories,75,12,900,2023,5,2,Wednesday,315.0,585.0
2024-08-31,Store C,West,Headphones,Accessories,75,8,600,2024,8,3,Saturday,210.0,390.0
2023-07-20,Store E,South,Smartphone,Electronics,700,10,7000,2023,7,3,Thursday,2450.0,4550.0
2023-05-04,Store D,North,Monitor,Electronics,180,6,1080,2023,5,2,Thursday,378.0,702.0
2023-07-06,Store B,East,Laptop,Electronics,900,1,900,2023,7,3,Thursday,315.0,585.0
2023-11-22,Store B,West,Keyboard,Accessories,40,12,480,2023,11,4,Wednesday,168.0,312.0
2024-04-08,Store E,South,Monitor,Electronics,180,12,2160,2024,4,2,Monday,756.0,1404.0
2023-12-15,Store A,South,Headphones,Accessories,75,5,375,2023,12,4,Friday,131.25,243.75
2024-10-21,Store B,South,Monitor,Electronics,180,8,1440,2024,10,4,Monday,503.99999999999994,936.0
2024-02-07,Store E,East,Monitor,Electronics,180,6,1080,2024,2,1,Wednesday,378.0,702.0
2023-12-12,Store A,North,Smartphone,Electronics,700,1,700,2023,12,4,Tuesday,244.99999999999997,455.0
2024-05-25,Store D,West,Keyboard,Accessories,40,6,240,2024,5,2,Saturday,84.0,156.0
2023-05-27,Store A,North,Smartphone,Electronics,700,1,700,2023,5,2,Saturday,244.99999999999997,455.0
2023-05-28,Store B,North,Mouse,Accessories,25,3,75,2023,5,2,Sunday,26.25,48.75
2024-12-11,Store D,South,Smartphone,Electronics,700,2,1400,2024,12,4,Wednesday,489.99999999999994,910.0
2024-05-03,Store D,West,Tablet,Electronics,300,2,600,2024,5,2,Friday,210.0,390.0
2024-10-01,Store A,West,Headphones,Accessories,75,14,1050,2024,10,4,Tuesday,367.5,682.5
2024-07-04,Store D,East,Smartphone,Electronics,700,11,7700,2024,7,3,Thursday,2695.0,5005.0
2023-12-04,Store A,West,Keyboard,Accessories,40,10,400,2023,12,4,Monday,140.0,260.0
2024-10-02,Store A,North,Headphones,Accessories,75,8,600,2024,10,4,Wednesday,210.0,390.0
2024-04-17,Store A,South,Smartphone,Electronics,700,7,4900,2024,4,2,Wednesday,1715.0,3185.0
2023-05-31,Store E,South,Headphones,Accessories,75,11,825,2023,5,2,Wednesday,288.75,536.25
2024-02-19,Store B,South,Monitor,Electronics,180,12,2160,2024,2,1,Monday,756.0,1404.0
2023-10-25,Store D,North,Keyboard,Accessories,40,4,160,2023,10,4,Wednesday,56.0,104.0
2024-09-02,Store C,East,Laptop,Electronics,900,11,9900,2024,9,3,Monday,3465.0,6435.0
2023-09-20,Store B,East,Laptop,Electronics,900,5,4500,2023,9,3,Wednesday,1575.0,2925.0
2023-05-24,Store C,West,Laptop,Electronics,900,9,8100,2023,5,2,Wednesday,2835.0,5265.0
2023-12-12,Store A,South,Monitor,Electronics,180,12,2160,2023,12,4,Tuesday,756.0,1404.0
2024-09-15,Store D,South,Tablet,Electronics,300,6,1800,2024,9,3,Sunday,630.0,1170.0
2024-07-25,Store B,South,Smartphone,Electronics,700,1,700,2024,7,3,Thursday,244.99999999999997,455.0
2023-01-02,Store C,South,Mouse,Accessories,25,5,125,2023,1,1,Monday,43.75,81.25
2023-10-31,Store C,South,Tablet,Electronics,300,8,2400,2023,10,4,Tuesday,840.0,1560.0
2023-09-11,Store C,West,Monitor,Electronics,180,12,2160,2023,9,3,Monday,756.0,1404.0
